|14|	|Asuntos Agropecuarios|
|17|	|Asuntos Indígenas|
|22|	|Asuntos Municipales|
|25|	|Comercio y Asuntos Económicos|
|11|	|Comunicación y Transporte|
|24|	|Credenciales, Reglamentos, Ética Parlamentaria y Asuntos Judiciales|
|26|	|De la Mujer, La Niñez, La Juventud y La Familia|
|23|	|Economía y Finanzas|
|08|	|Educación, Cultura y Deportes|
|03|	|Gobierno, Justicia y Asuntos Constitucionales|
|27|	|Infraestructura Pública y Asuntos del Canal|
|18|	|Población, Ambiente y Desarrollo|
|04|	|Presupuesto|
|13|	|Relaciones Exteriores|
|28|	|Trabajo, Salud y Desarrollo Social|
|19|	|Asuntos de la Mujer, Derecho del Niño, la Juventud y la Familia|
|09|	|Asuntos del Canal|
|06|	|Comercio, Industrias y Asuntos Económicos|
|01|	|Credenciales, Justicia Interior, Reglamento y Asuntos Judiciales|
|16|	|Derechos Humanos|
|21|	|Etica y Honor Parlamentario|
|05|	|Hacienda Pública, Planificación y Política Económica|
|07|	|Obras Públicas|
|20|	|Prevención, Control y Erradicación de la Droga, el Narcotráfico y el Lavado de Dinero|
|02|	|Revisión y Corrección de Estilo|
|12|	|Salud Pública y Seguridad Social|
|10|	|Trabajo y Bienestar Social|
|15|	|Vivienda|
